epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5352,1.92796,3.08359,1.57,0.00957,0.5452,0.16845,0.06998,1.61435,3.0631,1.34072,0.00030009,0.00030009,0.00030009
2,27.6158,1.69147,1.99041,1.39472,0.93734,0.13091,0.27236,0.13461,1.62043,2.78661,1.32089,0.000602303,0.000602303,0.000602303
3,32.6483,1.67306,1.73064,1.39042,0.03155,0.35185,0.25689,0.12425,1.84253,3.40381,1.70781,0.000892068,0.000892068,0.000892068
4,38.0331,1.64665,1.69678,1.39211,0.87468,0.52872,0.68882,0.37907,1.80083,2.17181,1.54967,0.00116938,0.00116938,0.00116938
5,45.1704,1.61791,1.62545,1.39169,0.8048,0.67785,0.7703,0.43025,1.71888,1.585,1.48596,0.00131582,0.00131582,0.00131582
6,50.6902,1.62053,1.56669,1.40068,0.78863,0.69249,0.78216,0.42211,1.69122,1.34042,1.49195,0.00128753,0.00128753,0.00128753
7,56.3992,1.61981,1.46599,1.37918,0.8701,0.67682,0.79538,0.43746,1.69304,1.46005,1.46625,0.00125923,0.00125923,0.00125923
8,62.6737,1.60007,1.4446,1.3503,0.85143,0.75452,0.82271,0.45034,1.70412,1.22601,1.50719,0.00123094,0.00123094,0.00123094
9,67.7775,1.58466,1.40224,1.33971,0.89612,0.735,0.83579,0.4544,1.74732,1.20173,1.5186,0.00120265,0.00120265,0.00120265
10,74.9149,1.55472,1.3775,1.32689,0.81584,0.72701,0.76606,0.41656,1.80041,1.31218,1.56387,0.00117435,0.00117435,0.00117435
11,79.7783,1.54305,1.3459,1.31122,0.90438,0.69192,0.82439,0.4456,1.72562,1.18159,1.52404,0.00114606,0.00114606,0.00114606
12,85.488,1.55202,1.31884,1.32414,0.91697,0.77834,0.83375,0.47006,1.77954,1.26859,1.53315,0.00111776,0.00111776,0.00111776
13,91.9409,1.48409,1.23504,1.29307,0.90187,0.84812,0.87924,0.46307,1.69543,1.16869,1.48172,0.00108947,0.00108947,0.00108947
14,97.3946,1.50091,1.23771,1.31136,0.86199,0.83058,0.87628,0.47509,1.711,1.15084,1.4872,0.00106118,0.00106118,0.00106118
15,105.619,1.47887,1.20464,1.28656,0.84627,0.80012,0.85668,0.47635,1.72724,1.12588,1.50116,0.00103288,0.00103288,0.00103288
16,110.674,1.4889,1.22188,1.29266,0.91527,0.73914,0.83912,0.47541,1.69769,1.15747,1.50896,0.00100459,0.00100459,0.00100459
17,116.546,1.45197,1.17168,1.27067,0.83803,0.80553,0.8562,0.47149,1.66804,1.16895,1.49781,0.000976293,0.000976293,0.000976293
18,123.116,1.39559,1.1431,1.24567,0.89302,0.7985,0.87066,0.4958,1.67197,1.06911,1.47524,0.000947999,0.000947999,0.000947999
19,128.214,1.442,1.14989,1.26972,0.86773,0.79774,0.86572,0.48176,1.69059,1.12271,1.50217,0.000919704,0.000919704,0.000919704
20,135.125,1.41253,1.11519,1.26584,0.91045,0.77008,0.85721,0.48177,1.6331,1.06875,1.42392,0.00089141,0.00089141,0.00089141
21,140.848,1.35654,1.05819,1.23853,0.92991,0.78158,0.8656,0.483,1.67965,1.04561,1.45565,0.000863116,0.000863116,0.000863116
22,146.102,1.38213,1.05736,1.23064,0.91699,0.81535,0.88624,0.48505,1.72352,1.02111,1.46022,0.000834822,0.000834822,0.000834822
23,152.746,1.39375,1.07611,1.25533,0.89594,0.82749,0.87367,0.50083,1.70071,1.0219,1.4344,0.000806528,0.000806528,0.000806528
24,157.732,1.39225,1.03322,1.27329,0.90593,0.8564,0.89767,0.50662,1.70832,0.95336,1.4502,0.000778233,0.000778233,0.000778233
25,163.962,1.3267,1.00807,1.20397,0.9367,0.82271,0.89441,0.51645,1.66385,0.96982,1.44448,0.000749939,0.000749939,0.000749939
26,169.694,1.34243,1.00767,1.21043,0.9678,0.78536,0.89833,0.51522,1.69053,0.96722,1.47954,0.000721645,0.000721645,0.000721645
27,176.086,1.34932,1.06237,1.24857,0.94815,0.80377,0.89942,0.49083,1.73661,0.968,1.52293,0.000693351,0.000693351,0.000693351
28,182.786,1.3358,0.98418,1.21395,0.92386,0.84456,0.9015,0.49239,1.72478,0.9677,1.47399,0.000665057,0.000665057,0.000665057
29,187.949,1.3135,0.96625,1.2191,0.91562,0.79996,0.88401,0.48906,1.80427,0.97962,1.52096,0.000636762,0.000636762,0.000636762
30,194.149,1.32718,0.98452,1.19882,0.93133,0.78375,0.89813,0.48055,1.7116,0.9325,1.46022,0.000608468,0.000608468,0.000608468
31,200.885,1.27738,0.97549,1.19097,0.87247,0.82064,0.8858,0.46994,1.73537,0.94589,1.47684,0.000580174,0.000580174,0.000580174
32,205.902,1.25714,0.90825,1.18508,0.82035,0.85282,0.88588,0.4868,1.71987,0.94566,1.51669,0.00055188,0.00055188,0.00055188
33,213.028,1.26184,0.89755,1.17549,0.94057,0.82054,0.89359,0.49337,1.7133,0.91207,1.5061,0.000523586,0.000523586,0.000523586
34,218.016,1.2597,0.88612,1.18019,0.92178,0.82374,0.89312,0.49729,1.69857,0.89184,1.47137,0.000495291,0.000495291,0.000495291
35,224.172,1.24699,0.88932,1.17989,0.95131,0.81533,0.91088,0.51067,1.63984,0.87814,1.44095,0.000466997,0.000466997,0.000466997
36,230.029,1.21214,0.86495,1.1684,0.90235,0.88658,0.91153,0.51673,1.64008,0.86168,1.4363,0.000438703,0.000438703,0.000438703
37,235.501,1.22,0.87156,1.17328,0.89813,0.87755,0.92001,0.5138,1.63191,0.83891,1.43547,0.000410409,0.000410409,0.000410409
38,242.955,1.22923,0.84891,1.14621,0.92698,0.85849,0.92332,0.52674,1.66644,0.85064,1.44354,0.000382115,0.000382115,0.000382115
39,247.89,1.18276,0.8343,1.15986,0.91369,0.86174,0.92933,0.52688,1.66659,0.84282,1.43792,0.00035382,0.00035382,0.00035382
40,254.389,1.1639,0.81123,1.13617,0.90404,0.87082,0.92706,0.51167,1.66934,0.85197,1.44479,0.000325526,0.000325526,0.000325526
41,261.681,1.17347,0.89378,1.10758,0.94179,0.8485,0.90899,0.50329,1.70398,0.8987,1.4825,0.000297232,0.000297232,0.000297232
42,267.038,1.13191,0.84199,1.12338,0.92035,0.87692,0.90689,0.5086,1.71288,0.89947,1.48257,0.000268938,0.000268938,0.000268938
43,274.505,1.12341,0.82881,1.11093,0.939,0.8428,0.91101,0.51001,1.6994,0.86773,1.47253,0.000240644,0.000240644,0.000240644
44,279.192,1.11338,0.80072,1.11544,0.94728,0.82577,0.90155,0.50693,1.69452,0.86813,1.46996,0.000212349,0.000212349,0.000212349
45,285.853,1.11949,0.79003,1.09166,0.95437,0.84142,0.91146,0.51649,1.63728,0.8446,1.44278,0.000184055,0.000184055,0.000184055
46,291.328,1.09247,0.79791,1.10315,0.94368,0.84209,0.91208,0.51392,1.65239,0.85112,1.45503,0.000155761,0.000155761,0.000155761
47,296.63,1.10772,0.79731,1.08921,0.93533,0.84119,0.90829,0.5101,1.66329,0.85395,1.4584,0.000127467,0.000127467,0.000127467
48,303.579,1.04743,0.78147,1.08462,0.94508,0.83359,0.91428,0.51374,1.65827,0.84659,1.45561,9.91726e-05,9.91726e-05,9.91726e-05
49,308.245,1.05322,0.76906,1.0851,0.96759,0.83198,0.92022,0.51458,1.64232,0.83182,1.44262,7.08784e-05,7.08784e-05,7.08784e-05
50,314.64,1.01104,0.73969,1.04721,0.96346,0.83543,0.91691,0.51205,1.64501,0.83077,1.44568,4.25842e-05,4.25842e-05,4.25842e-05
